"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AG01"	"AG01_01"	"AG01_02"	"AG01_03"	"AG01_04"	"AG01_05"	"AG01_06"	"AG01_07"	"AG01_07a"	"AG02_01"	"AG03_01"	"AG03_02"	"AG03_03"	"AG03_04"	"AG03_05"	"AG03_06"	"AG03_07"	"AG03_08"	"AG03_09"	"AG03_10"	"AG03_11"	"AG04_01"	"AG05_01"	"AG05_02"	"AG05_03"	"AG05_04"	"AG05_05"	"AG05_06"	"AG05_07"	"AG05_08"	"AG05_09"	"AG05_10"	"AG05_11"	"AG05_12"	"AG05_13"	"AG05_14"	"AG05_15"	"AG05_16"	"AG05_17"	"AG05_18"	"AG06_01"	"AG06_02"	"AG06_03"	"AG06_04"	"AG06_05"	"AG06_06"	"AG06_07"	"AG06_08"	"AG06_09"	"AG06_10"	"AG06_11"	"AG06_12"	"AG08_01"	"AG10_01"	"AG10_02"	"CO01_01"	"CO01_02"	"CO01_03"	"CO02_01"	"CO02_02"	"CO02_03"	"CO03_01"	"CO03_02"	"CO03_03"	"CO03_04"	"CO03_05"	"CO03_06"	"CO03_07"	"CO03_08"	"CO04_01"	"CO04_02"	"CO04_03"	"CO04_04"	"CO04_05"	"CO04_06"	"CO04_07"	"CO04_08"	"CO05_01"	"CO05_02"	"CO05_03"	"CO05_04"	"CO05_05"	"CO05_06"	"CO05_07"	"CO05_08"	"CO06_01"	"CO07_01"	"CO08_01"	"CO11_01"	"CO11_02"	"GI01_01"	"GI01_02"	"GI01_03"	"GI01_04"	"GI01_05"	"GI01_07"	"GI01_08"	"GI01_09"	"GI02_01"	"GS01_01"	"GS01_02"	"GS01_03"	"GS01_04"	"GS01_05"	"GS01_06"	"GS01_07"	"GS02_01"	"GS02_02"	"GS02_03"	"RWA_01"	"RWA_02"	"RWA_03"	"SDO_01"	"SDO_02"	"SDO_03"	"SX_01"	"SX_02"	"SX_03"	"SX_04"	"SX_05"	"SX_06"	"TX_01"	"TX_02"	"TX_03"	"TX_04"	"TX_05"	"TX_06"	"TX_07"	"TX_08"	"SD01"	"SD01_01"	"SD01_02"	"SD01_03"	"SD01_04"	"SD01_05"	"SD02"	"SD03"	"SD04"	"SD04_04"	"SD05"	"SD06"	"SD06_10"	"SD07"	"SD08_01"	"SD09"	"SD10_01"	"SD11"	"SD12_01"	"SD14"	"SD15"	"SN01_01"	"SN01_02"	"SN01_03"	"SN01_04"	"SN01_05"	"SN01_06"	"SN01_07"	"SN01_08"	"SN01_09"	"SN02_01"	"SN02_02"	"SN02_03"	"SN02_04"	"SN02_05"	"SN02_06"	"SN02_07"	"SN02_08"	"SN02_09"	"SN04_01"	"SO01_01"	"XX03"	"XX12"	"XX19"	"XX21"	"TIME002"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME024"	"TIME026"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
759			"base"	"interview"	2024-03-20 10:14:59	2	T	F	F	F	T	F	F		"Sehr geehrte Damen und Herren, ..."	1	1	1	1	1	1	1	1	1	1	3	1	1	5	4	5	5	1	3	5	5	5	5	1	1	1	5	5	5	1	1	1	1	1	1	1	1	1	2	1	1	1				7	1	3	4	1	2	7	1	2	4	1	4	7	1									6	3	1	4	1	1	1	1				1	1	5	5		5		4	5	2	"mit Schiedsrichtern im Sport"	5	4	5	5	5	5	5	2	3	3	1	1	4	4	2	3	3	1	4	3	3	2	3	3	3	3	5	5	1	4	1	T	F	F	F	F	2	2	2		1	7			"Der Begriff ""Unruhestifter"" ist insoweit nicht klar eingegrenzt, als hier Unruhestifter im allgemeingesellschaftlichen Kontext gemeint sein könnten (so auch meine Auswahl), schlechterdings könnten sie auch als umfragegenständliche ""Abweichler"" im abgefragten Geschlechtskontext sein. Von einer Einordnung einer Person als Unruhestifter nur aufgrund ihres Geschlechts distanziere ich mich."	5	"Rechtswissenschaften"		3	1	2	2	26	26	21	21	1	1	21	2	2	26	51	26	41	14	14	21	3			2	1	1	1		59	5	13	8	66	115	40	24	38	52	135	59	121	9	24	18	68		149		9	879		2024-03-20 10:31:51	T	F	26	26	3	0	1.15
762			"base"	"interview"	2024-03-20 10:27:01	2	F	T	T	F	F	F	F		"Guten Tag, A. Hausach"	5	5	5	5	5	5	5	5	5	5	5	101	2	1	1	1	1	1	1	1	2	1	1	5	5	5	3	1	1	1	4	5		5	5	5	5	5	5	5	5	5				7	7	7	4	2	6	1	7	6	1	7	1	6	1	1	7	7	6	7	1	1	7	1	7	6	5	7	1	1	6				6	1	2	3	2		2	1		2		2	3	2	4	2	4	3	4	4	3	1	1	5	2	1	1	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	F	F	T	F	F	3	1	3		3	7		6				4		1	2	91	11	22	31	46	46	61	6	51	101	26	26	46	31	26	51	11	21			2	1	1	1		3	3	5	5	49	170	60	33	31	77	137	84	101	4	36		32	11	14		3	858		2024-03-20 10:41:19	T	F	26	26	5	1	1.51
763		"12271"	"base"	"interview"	2024-03-20 10:35:28	1	F	T	F	F	F	F	F			3	4	3	4	4	4	3	3	3	3	4	37	3	3	3	4	3	1	3	4	3	4	3	4	4	2	1	3	4	3	2	-1	2	-1	-1	3	-1	-1	-1	2	2	-1				2	2	2	1	1	1	3	3	1	1	1	2	3	1	3	2	1	2	1	2	1	1	2	2	1	2	1	1	1	1				1	1	2	4		2		5	2	1		4	3	3	4	4	4	4	3	2	3	1	2	2	4	4	2	2	1	2	4	3	3	3	3	5	1	4	4	4	4	1	T	F	F	F	F	8	8	1		4	5				2	"Psychologie"		0	2	2	33	76	82	63	79	55	64	43	1	18	71	83	54	77	64	65	48	1			2	1	1	1	4		2	10	5	37	73	196	42	42	122	137	129	232	5	66	48	47		8	2		1207		2024-03-20 10:55:35	T	F	24	24	6	1	1.21
764		"21370"	"base"	"interview"	2024-03-20 10:44:05	1	T	F	F	F	F	F	F		"Sehr geehrte/r A. Hausach "	4	4	1	5	4	5	2	2	3	1	4	69	3	1	3	4	2	1	1	4	3	4	4	4	4	4	4	3	3	4	1	3	3	4	4	2	1	4	4	3	3	1				7	2	3	5	1	1	4	1	1	3	4	4	7	7	1	1	1	1	1	1	1	1	3	1	1	1	1	4	1	1				3	1	4	4		4		4	4	2		4	4	4	4	4	4	4	2	1	2	3	2	5	4	1	4	3	2	4	1	3	3	1	1	1	5	5	5	1	4	1	T	F	F	F	F	8	9	1		1	7				2	"Psychologie "		0	1	2	-9	35	96	47	83	66	67	1	-9	24	28	101	97	95	93	97	62	58			2	1	1	1	4		4	3	4	40	133	135	19	83	92	133	166	150	14	43	25	213		9	4		1090		2024-03-20 11:05:19	T	F	24	24	7	2	1.17
766			"base"	"interview"	2024-03-20 10:49:28	3	F	T	F	F	F	T	T	"Student:innen"	"Hallo A. Hausach,..."	4	4	3	5	4	4	4	4	3	4	5	81	1	1	3	1	1	1	1	2	2	1	2	5	5	5	5	2	2	5	3	5	4	5	4	3	3	4	5	4	3	3				4	3	4	3	2	2	4	4	2	3	1	3	2	2	2	3	1	1	2	1	1	1	3	3	1	3	1	1	1	1				4	1	3	4		3		3	4	4	"Familie"	4	4	3	4	2	4	2	1	1	3	2	1	5	4	2	2	2	1	2	1	2	2	1	1	1	5	5	5	2	3	1	T	F	F	F	F	1	1	2		3	8				1	"Bildungswissenschaften"		2	1	2	62	42	68	62	91	56	52	54	75	73	25	64	55	81	51	68	59	84		"diskriminierungsfreie Sprache bezieht sich auch auf Deutsch als ""Leitsprache"" des Studiums, Studieninhalte sollten zusätzlich immer auch mindestens auf Englisch angeboten werden, um mehr Menschen den (sprachlichen) Zugang zu ermöglichen"	2	1	1	1		11	5	31	5	71	62	117	225	23	103	147	118	170	136	24	25	28		20		12	1018		2024-03-20 11:11:41	T	F	26	26	4	0	0.97
767		"18940"	"base"	"interview"	2024-03-20 11:23:29	1	T	F	F	F	F	F	F		"Sehr geehrte/r Herr/Frau Hausach,"	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	4	1	4	5	5	5	5	1	1	1	5	5	5	1	1	1	2	1	1	1	1	1	1	1	1	1				5	1	3	1	1	3	1	1	4	3	4	5	4	1									2	3	1	2	1	1	1	2				3	1	3	5		3		4	3	4		4	3	4	4	4	4	4	2	4	3	1	5	5	5	3	4	3	3	4	2	4	3	1	1	4	5	5	5	5	5	1	T	F	F	F	F	4	9	2		2	8				2	"B.Sc. Psychologie"		3	1	2	10	3	101	20	101	5	69	15	22	1	1	1	1	1	1	1	1	1			2	1	1	1	4		7	5	11	29	264	50	39	36	64	75	95	100	4	33	22	13		6	2		859		2024-03-20 11:37:48	T	F	24	24	5	1	1.54
768			"base"	"interview"	2024-03-20 11:23:56	2	T	T	F	F	F	F	F		"Hallo Hausach,"	1	1	1	1	1	1	1	1	1	1	1	1	4	5	3	5	2	1	3	4	5	5	4	1	2	1	1	5	1	1	1	1		2	-1	-1	1	1	-1	1	-1	1	"wenn ich z.B. ""Studenten und Studentinne"" sagen würde, würde ich damit ausagen das es einen unterschied zwischen den beiden gibt. Da es aber keinen Unterschied geben sollte, sollte nur ein Wort (egal ob das das aktuelle Maskuline oder ein ""neues"" Wort ist) für alle genutzt werden."			1	7	6	1	3	3									1	6	6	5	5	1	1	7	1	1	4	1	4	1	1	4				6	3	4	4	5		5	3		2		4	5	5	3	3	3	3	1	1	2	3	4	4	4	3	1	3	3	2	3	4	3	3	2	4	3	3	5	4	5	1	F	F	T	F	F	10	10	1		2	5		6				4		1	2	1	18	71	1	1	12	1	1	1	11	9	22	8	14	12	1	1	1			2	1	1	1		7	5	32	6	46	93	68	68	129	50	141	252	202	3	38		41	14	21		24	1240		2024-03-20 11:44:36	T	F	26	26	4	1	1.04
769			"base"	"interview"	2024-03-20 11:58:47	1	F	F	F	F	T	F	F		"Guten Tag Frau/Herr Hausach, ..."	2	2	1	2	3	2	1	2	2	1	2	11	5	5	4	5	5	1	5	5	5	4	5	3	2	2	4	4	5	2	1	2		4	-1	-1	1	1	5	1	1	1				3	7	6	2	3	3	1	1	2	3	1	1	1	1	1	7	7	6	4	3	6	7	1	6	4	4	4	1	1	6				4	2	4	5	5		5	4		3		5	4	4	5	4	4	4	1	1	2	1	3	4	4	1	4	3	1	3	1	3	2	1	2	4	4	5	5	4	5	1	F	F	T	F	F	1	9	1		2	5		6				4		1	2	6	31	16	33	91	11	3	21	31	-9	21	31	31	86	21	5	51	5			2	1	1	1		6	7	5	20	86	146	141	41	45	178	831	118	366	16	66		47	77	16		23	2173		2024-03-20 12:36:02	T	F	26	26	6	1	0.73
770		"19429"	"base"	"interview"	2024-03-20 12:05:44	3	T	T	F	F	T	F	F		"Sehr geehrte Damen und Herren, 
"	1	1	1	1	1	1	1	1	1	1	1	1	5	5	4	5	5	1	4	5	5	5	5	3	1	1	5	1	1	4	1	1	2	1	1	1	1	1	1	1	1	1				5	3	3	2	1	1	5	4	2	3	1	4	4	1	1	3	1	1	3	1	1	1	3	3	1	1	3	1	1	1				2	1	3	4		3		3	3	2		4	4	4	4	2	4	4	2	3	2	1	1	4	4	3	3	3	1	2	1	2	2	1	1	3	3	5	5	3	5	1	T	F	F	F	F	2	7	2		1	7				2	"M2"			1	2	46	46	55	61	53	51	63	49	51	44	44	51	55	50	51	51	51	52			2	1	1	1	6		6	4	4	33	128	59	28	28	62	100	146	107	5	48	13	46		7	2		832		2024-03-20 12:19:36	T	F	24	24	6	1	1.47
771		"5770"	"base"	"interview"	2024-03-20 12:10:13	1	F	T	F	F	F	F	F			3	3	3	3	3	3	3	3	3	3	3	21	4	3	4	3	2	1	3	4	3	4	4	3	3	2	2	5	3	4	1	-1	-1	-1	-1	5	1	-1	1	-1	-1	-1				6	3	4	1	1	1	4	1	1	1	1	7	7	1	4	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1				1	1	3	4		4		4	4	3		5	5	5	5	5	5	5	4	4	3	1	1	5	3	1	3	1	1	2	1	1	1	1	1	3	5	5	5	1	3	1	T	F	F	F	F	-9	-9	1		1	8				2			0	1	2	6	27	101	22	101	10	22	20	64	1	16	96	16	101	16	16	26	26			2	1	1	2	7		5	5	7	24	22	81	43	29	95	123	209	142	2	27	16	16		8	2		863		2024-03-20 12:24:36	T	F	24	24	8	3	1.53
772			"base"	"interview"	2024-03-20 12:11:14	4	F	T	T	F	F	T	T	"Student:innen"	"Sehr geehrte(r) Herr oder Frau Hausach,"	5	5	5	5	5	5	5	5	5	5	5	101	1	1	1	1	1	1	1	2	1	1	2	5	5	5	4	1	1	5	5	5	5	4	5	5	5	5	4	5	5	5				5	1	1	1	1	1	2	2	3	3	3	2	5	2																				4	1	3	4		4		4	4	4	"gleiche sexuelle Orientierung"	3	3	3	4	3	4	3	1	1	2	1	2	5	4	1	2	1	1	1	1	1	1	1	1	1	5	5	5	1	2	1	T	F	F	F	F	1	6	1		2	5				3	"Wirtschaftsinformatik"		5	1	2	41	26	31	21	51	51	31	41	61	61	31	51	27	31	51	23	36	65			2	1	1	1		7	5	8	14	75	165	76	36	38	49	164	99	137	14	54	24	26		13		12	1016		2024-03-20 12:28:10	T	F	26	26	4	1	1.04
773		"18295"	"base"	"interview"	2024-03-20 12:41:40	1	F	F	F	F	T	F	F		"Liebe Mitarbeiter der Fernuni Hagen"	2	2	2	2	2	2	2	2	2	2	2	36	5	4	3	4	4	1	3	5	4	4	4	5	1	1	4	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1				3	1	3	1	1	1	3	1	1	2	1	1	2	2									1	1	1	1	1	1	1	1				3	1	5	5		3		5	3	1		5	4	4	5	4	5	5	3	2	1	3	4	4	1	2	3	3	1	2	1	1	3	1	1	1	5	5	5	1	4	1	T	F	F	F	F	2	9	1		2	5				2	"B Sc Psychologie"		1	1	2	2	7	61	31	81	2	5	6	2	2	6	41	11	81	3	9	5	2			2	1	1	1	5		8	2	9	112	197	69	48	23	55	181	122	145	16	46	28	35		8	4		1113		2024-03-20 13:00:13	T	F	24	24	5	1	1.15
775		"5530"	"base"	"interview"	2024-03-20 12:49:03	1	F	F	F	F	T	F	F		"Sehr geehrte(r) A. Hausach"	5	4	4	4	5	5	2	3	3	3	5	81	3	2	2	3	2	1	2	4	4	2	3	4	3	4	3	3	3	4	1	3	3	3	3	2	1	3	3	2	2	2				6	3	4	1	1	1	5	4	7	4	4	7	7	4	1	2	1	3	1	1	1	4	3	3	1	3	3	3	3	3				3	1	5	4		5		3	5	3		5	5	5	5	5	5	4	4	4	2	1	2	5	1	2	1	1	1	2	1	1	1	1	1	1	4	5	5	1	1	1	T	F	F	F	F	10	6	1		1	8				2			0	1	2	41	41	101	71	101	91	81	41	81	41	31	101	71	71	71	71	56	64			2	1	1	1	9		4	5	6	46	78	65	29	45	157	100	115	121	5	68	43	21		7	3		927		2024-03-20 13:04:30	T	F	24	24	6	1	1.25
776		"6997"	"base"	"interview"	2024-03-20 12:51:43	1	F	F	F	F	T	F	F		"Guten Tag A. Hausach,"	4	4	3	4	3	4	2	3	4	3	3	26	4	4	3	5	3	1	1	3	5	4	4	4	2	3	4	4	2	5	1	4	4	5	4	4	2	4	5	3	5	2				3	3	2	3	1	1	3	1	3	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	1	1	1	1	1				3	1	3	5		5		5	4	2		4	4	4	5	4	4	4	3	3	3	3	3	4	4	3	3	3	3	3	2	2	3	1	1	1	5	5	5	1	4	1	T	F	F	F	F	4	4	1		2	5				2	"Psychologie"		3	1	1	36	56	94	82	101	84	79	77	51	36	53	90	67	82	73	77	54	60			2	1	1	1	5		4	4	5	38	214	91	23	30	598	82	98	134	10	42	28	19		8	2		928		2024-03-20 13:15:38	T	F	24	24	5	1	1.3
777		"15193"	"base"	"interview"	2024-03-20 13:04:39	1	F	T	F	F	F	F	F		"Sehr geehrte/r A. Hausach"	5	5	4	5	5	5	5	4	4	5	5	96	3	1	2	1	1	1	1	2	1	2	2	5	4	4	4	1	2	5	4	5	5	5	3	4	4	4	5	4	4	4				4	4	4	1	1	1	3	2	3	2	5	5	5	1	3	3	1	1	1	1	1	1	4	3	1	3	1	1	1	1				2	1	5	5		3		5	3	3		5	5	3	5	5	5	5	3	3	1	1	4	4	3	2	2	1	1	2	1	1	1	1	1	1	5	5	5	1	1	1	T	F	F	F	F	3	3	1		2	7				2	"Psychologie"		2	1	2	92	22	92	76	92	82	92	81	80	98	38	79	82	97	84	85	93	83			2	1	1	1	6		3	18	5	41	63	483	21	18	111	144	161	126	12	40	57	22		6	1		1338		2024-03-20 13:26:57	T	F	24	24	5	1	1.34
778		"21406"	"base"	"interview"	2024-03-20 13:05:07	5	T	T	T	F	T	T	F		"Sehr geehrte/r A. Hausach"	4	4	4	4	4	4	4	4	4	4	4	75	4	3	1	5	2	1	5	5	4	3	3	4	4	1	3	4	4	4	3	5	5	5	5	5	3	4	5	3	4	2	"Ob ich beobachtet werde, in welchem kontext ich als ""redner"" stehe"			3	1	3	1	1	1	1	1	1	3	1	1	3	1									1	2	1	1	1	1	1	1				3	1	4	5		4		3	3	1	"Mensch"	5	3	3	5	3	4	5	3	3	2	2	3	4	3	2	2	5	4	4	2	3	3	3	1	5	3	4	5	5	5	1	T	F	F	F	F	8	11	2		2	8				2	"Psychologie"		4	1	2	37	21	101	101	101	101	34	20	13	35	48	101	79	101	71	38	59	25			2	1	1	1	29		25	10	13	39	89	93	40	28	46	108	130	113	5	35	21	25		10	19		878		2024-03-20 13:19:45	T	F	24	24	3	0	1.12
780			"base"	"interview"	2024-03-20 13:08:20	2	F	T	T	F	F	F	F		"Guten Tag, A. Hausach"	5	5	5	5	5	5	5	5	5	5	5	101	3	1	1	3	1	1	1	5	1	1	2	5	5	5	3	1	1	5	4	4	4	-1	-1	4	4	4	4	4	4	-1				6	6	4	4	3	3	1	6	6	6	6	1	1	1	1	5	6	4	4	1	1	4	3	3	2	1	1	1	1	1				3	1	3	4	3	3	3	4	3	2		3	3	2	2	2	3	3	3	3	2	1	3	5	2	2	3	1	1	1	1	1	1	1	1	1	5	5	5	1	1	2	T	F	T	F	F	3	3	1		3	8		7	"nein"	2	"Psychologie"	3	4	1	2	21	6	11	11	21	11	41	51	11	71	11	21	21	11	11	31	52	31			2	1	1	1		4	4	4	13	41	44	55	32	25	85	150	97	102	8	26	32	258	92	30		9	805		2024-03-20 13:26:51	T	F	26	26	4	1	1.24
781		"21409"	"base"	"interview"	2024-03-20 13:12:36	1	F	F	F	F	T	F	F		"Sehr geehrte/r Frau/Herr Hausach,"	3	5	5	5	5	3	1	4	3	1	5	62	5	3	5	4	2	4	1	4	4	3	5	5	3	4	1	3	3	4	1	5	5	5	3	5	-1	5	5	3	4	-1				3	3	3	1	1	1	4	2	2	3	1	4	4	3	3	3	1	1	2	1	1	1	5	3	1	3	1	1	3	1				1	1	3	3		3		2	2	2		5	5	5	5	5	5	5	1	2	1	1	2	5	3	1	4	3	2	3	2	3	5	1	1	1	5	5	5	1	1	1	T	F	F	F	F	10	10	1		2	8				2	"Bachelor Psychologie"		3	2	2	56	58	89	71	94	87	59	61	51	55	90	99	93	86	70	68	70	52			2	1	1	1	8		4	5	4	35	81	75	13	27	88	66	149	122	4	42	29	14		10	1		777		2024-03-20 13:25:33	T	F	24	24	5	1	1.63
782		"13282"	"base"	"interview"	2024-03-20 13:21:16	2	F	T	T	F	F	F	F		"Guten Tag A. Hausach,
...."	5	5	5	5	5	5	5	5	5	5	5	101	2	1	2	1	1	1	1	2	1	4	2	5	5	5	4	1	1	5	4	5	5	5	5	5	5	5	5	-1	-1	-1				3	1	2	2	1	1	3	1	2	1	1	1	3	1									2	1	2	1	1	1	1	1				3	1	3	4		3		5	3	4		4	4	4	4	4	4	4				1	1	5	1	2	1	1	1	1	1	1	1	1	1	1	5	5	5	1	1	1	T	F	F	F	F																66	42	69	59	79	71	77	67	67	71	37	62	69	69	69	69	66	71			2	1			10		6	10	19	44	106	84	40	58	77	272	139	141	11	1999868							1060		2024-04-12 18:09:21	F	F	18	18	5	1	0.82
783		"13516"	"base"	"interview"	2024-03-20 13:28:55	1	T	F	F	F	F	F	F		"Sehr geehrter Herr Hausach,"	1	1	1	1	1	1	1	1	1	1	1	1	5	5	3	5	5	1	5	4	5	5	5	4	2	1	4	5	5	2	1	1	3	3	3	3	1	1	5	1	1	1				7	5	7	3	2	2	5	4	4	6	4	1	5	2	2	2	2	2	2	3	2	2	3	3	3	2	3	3	3	2				1	4	3	4		4		5	4	2		5	5	5	5	5	5	5	1	1	2	2	5	3	4	2	5	4	3	3	2	2	3	5	5	5	1	4	5	5	5	1	T	F	F	F	F	1	1	2		4	7				2	"Psychologie"		3	1	2	-9	15	58	53	89	58	29	15	16	101	-9	77	23	81	-9	14	12	13			2	1	1	1	14		3	7	17	31	49	57	16	54	60	100	102	164	3	24	18	19		10	8		756		2024-03-20 13:41:31	T	F	24	24	7	3	1.42
784		"5506"	"base"	"interview"	2024-03-20 13:31:35	1	F	F	T	F	F	F	F		"Sehr geehrte(r) A. Hausach
"	5	4	3	5	5	5	3	4	5	4	4	71	5	3	4	3	1	1	5	2	1	2	2	4	4	3	3	3	1	5	2	4	4	3	3	4	2	3	4	3	2	1				6	1	1	1	1	1	3	1	6	5	5	7	1	1																				1	1	4	4		5		5	5	3		5	5	5	5	3	5	5	4	4	1	1	1	5	2	1	3	3	2	4	3	1	5	1	2	5	5	5	5	3	5	1	T	F	F	F	F	8	1	1		1	7				2	"Psychologie "		0	1	2	65	51	101	66	101	46	68	55	44	41	71	101	81	101	54	55	60	51		"Nirgendwo "	2	1	1	1	46		4	12	11	65	106	155	32	36	93	190	223	179	17	77	48	31		13	9		1347		2024-03-20 13:54:02	T	F	24	24	4	1	0.78
786		"7654"	"base"	"interview"	2024-03-20 14:01:25	1	F	T	F	F	F	F	F		"Guten Tag A. Hausach"	3	3	3	3	3	3	3	3	3	3	3	45	4	2	3	5	4	3	4	5	4	4	4	4	3	4	4	4	1	4	2	2	2	2	2	2	2	2	2	2	2	2				4	3	3	4	4	4	6	1	3	1	3	6	6	1	3	3	1	1	3	1	3	1	1	1	1	1	1	1	1	1				1	1	4	4		5		4	5	3		3	3	4	4	4	4	4	2	2	1	1	3	5	5	2	4	4	5	4	4	4	4	3	3	3	5	5	5	4	5	1	T	F	F	F	F	9	9	2		3	8				2	"Psychologie "		6	1	2	51	56	88	64	84	62	64	48	67	57	61	60	63	68	73	51	51	62			2	1	1	1	31		12	5	7	57	68	177	22	31	94	109	99	160	5	62	26	29		14	9		1017		2024-03-20 14:18:22	T	F	24	24	5	1	1.07
787		"21430"	"base"	"interview"	2024-03-20 14:30:55	2	T	T	F	F	F	F	F		"Guten Tag, "	2	2	2	2	2	2	2	2	2	2	2	21	4	4	3	5	2	2	4	3	4	4	4	4	2	1	3	4	3	4	1	2	3	2	3	3	1	-1	5	1	-1	1				6	2	2	1	1	1	-9	2	5	2	1	5	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2				2	2	5	4		5		5	3	2		4	4	4	4	3	3	3	1	1	1	2	3	2	3	4	2	3	2	3	3	3	3	2	3	5	1	5	5	4	5	1	T	F	F	F	F	2	2	2		2	7				2	"Psychologie"		3	1	2	1	9	21	23	39	9	22	7	7	1	11	39	22	34	1	36	12	15			2	1	1	1	7		9	7	9	58	160	109	40	44	83	200	142	539	7	51	28	88		8	10		1599		2024-03-20 14:57:34	T	F	24	24	6	1	0.9
788		"10495"	"base"	"interview"	2024-03-20 14:56:02	3	F	T	T	F	T	F	F		"Sehr geehrte*r A. Hausach/ Guten Tag, A. Hausach"	3	4	2	3	4	4	2	2	2	2	4	36	5	3	3	4	3	1	2	4	3	3	4	4	3	3	4	4	4	4	2	4	4	5	4	4	2	-1	-1	3	-1	-1				3	2	3	1	1	1	3	2	2	3	1	3	2	1	2	3	3	2	3	1	1	1	3	3	3	3	1	1	1	1				1	1	4	5		4		5	4	4	"Fußball Fan des SV Werder Bremen "	5	5	5	4	5	4	5	3	2	2	2	2	4	3	1	3	4	3	1	1	2	2	1	1	2	5	5	5	2	5	1	T	F	F	F	F	3	2	1		2	7				2	"Psychologie B.Sc."		3	1	2	60	51	82	71	74	63	63	65	61	43	51	64	69	62	60	63	58	43			2	1	1	1	12		5	4	9	58	130	92	28	37	102	168	108	147	10	41	30	29		10	2		1022		2024-03-20 15:13:04	T	F	24	24	5	1	1.09
791			"base"	"interview"	2024-03-20 15:06:51	3	F	T	F	F	T	F	T	"Studennt:innen"	"Sehr geehrte:r A. Hausach!"	5	5	5	5	5	5	5	5	5	5	5	101	1	1	2	1	1	1	1	3	1	2	3	5	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5				5	3	5	1	1	1	5	3	3	4	2	4	4	2	1	3	1	1	1	1	1	1	6	4	2	4	1	1	3	1				3	1	5	1		5		5	5	3		5	5	5	5	3	3	3	1	1	3	1	3	5	5	1	3	1	1	3	1	1	1	1	1	1	5	5	5	1	1	1	T	F	F	F	F	10	10	1		5	8				1	"PSV"		1	1	2	51	21	71	71	81	71	71	31	21	51	21	31	51	51	51	51	51	21			2	1	1	1		25	16	18	15	64	99	59	36	50	144	246	117	166	8	72	26	41		19		20	1241		2024-03-20 15:27:32	T	F	26	26	5	1	0.81
792		"6937"	"base"	"interview"	2024-03-20 15:19:29	1	T	F	F	F	F	F	F		"Ich würde die Person erst googeln, um die richtige Ansprache herauszufinden."	1	1	1	1	1	1	1	1	1	1	2	21	5	5	2	5	3	1	3	1	3	5	5	1	1	1	5	3	3	1	1	2	2	1	1	1	1	1	1	1	1	1				3	1	1	1	1	1	2	1	3	1	1	3	3	1																				1	1	3	5		3		5	3	1		-9	-9	-9	-9	-9	-9	-9	2	2	2	1	3	2	3	3	3	4	1	2	1	1	1	1	2	5	4	5	5	5	5	1	T	F	F	F	F	10	10	2		3	8			" - In den Fragen wird gelegentlich nicht unterschieden, ob bio. oder soziales Geschlecht gemeint ist, was die Antwort schwierig/ungenau macht.
- Zu vielen Einschätzungen per Prozentangabe, was die verschiedenen Gruppe an der Fernuni angeht, kann ich eigentlich nichts sagen,
da ich keinen Kontakt mit ihnen habe. Hier wäre eine ""weiß nicht""-Option hilfreich gewesen.
- Die Fragen, ob man Transpersonen akzeptiert oder wertvoll findet etc. sind sehr pauschal und lassen nicht die Option zu, dass man alle Personen individuell bewertet; so ergeben sich einseitige Ergebnisse, da gar nicht nach anderer Meinung/Einschätzung gefragt. "	2	"BA Psychologie"		2	1	2	21	48	44	50	81	46	29	49	49	23	38	40	37	38	38	37	36	36			2	1	1	1	4		3	3	3	27	48	44	17	14	24	139	90	124	44	45	21	9		634	2		677		2024-03-20 15:41:04	T	F	24	24	9	6	1.77
